epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.7872818,0.4409268769517816,0.83203125,0.534502387046814
1,0.9652849,0.1395050933167675,0.98828125,0.13713784515857697
2,0.97750896,0.07521605766827749,0.9833984375,0.06440392136573792
3,0.9805249,0.061355375321448094,0.9951171875,0.037662554532289505
4,0.98533756,0.04769645008694541,0.9873046875,0.042742978781461716
5,0.98463166,0.046159399044174064,0.990234375,0.08857973664999008
6,0.9860434,0.04314645572404857,0.9931640625,0.06714722514152527
7,0.987808,0.03760809654578398,0.982421875,0.06695397943258286
8,0.9875834,0.03788157312598202,0.986328125,0.04605184495449066
9,0.98870635,0.03354366174186685,0.9931640625,0.02842726930975914
10,0.9898935,0.03107417152727929,0.9833984375,0.041035182774066925
11,0.9888026,0.034355477311479185,0.9833984375,0.053314827382564545
12,0.9896689,0.03152622236177952,0.9931640625,0.016279540956020355
13,0.99053514,0.0293874797609432,0.986328125,0.10394180566072464
14,0.99056727,0.029131003030866492,0.994140625,0.09817151725292206
15,0.9912731,0.026501198129984693,0.9853515625,0.020636137574911118
16,0.99079186,0.02966980511110823,0.9873046875,0.020810671150684357
17,0.99156183,0.025872295941331364,0.97265625,0.0539623387157917
18,0.9917864,0.025046828219995047,0.9892578125,0.10401901602745056
19,0.9925244,0.025096594290501865,0.9833984375,0.03037577122449875
20,0.99133724,0.027745018266817915,0.9853515625,0.05451877415180206
21,0.992011,0.02436285827829296,0.9697265625,0.1335376501083374
22,0.992364,0.02383047789677684,0.9853515625,0.03206656873226166
23,0.9932302,0.02081651480057376,0.986328125,0.02627749927341938
24,0.993519,0.020134731377601658,0.990234375,0.08036026358604431
25,0.9929415,0.022080980579668057,0.9892578125,0.01347530260682106
26,0.99313396,0.02234819811889309,0.986328125,0.16511854529380798
27,0.9926527,0.021705722621270577,0.986328125,0.07676516473293304
28,0.9932944,0.02088193132819845,0.98828125,0.03576624020934105
29,0.99377567,0.01934364767760914,0.9921875,0.014589067548513412
30,0.99335855,0.023237355695591592,0.98828125,0.10220545530319214
31,0.9937436,0.019839744186731633,0.9873046875,0.12892822921276093
32,0.99406445,0.018921123444203342,0.9912109375,0.024183351546525955
33,0.99297357,0.021819311212110035,0.98828125,0.01635994389653206
34,0.9940965,0.01948834466765868,0.9892578125,0.0074761006981134415
35,0.9942569,0.01670331767223201,0.990234375,0.07462666183710098
36,0.9931661,0.022845703695106627,0.98828125,0.02750370092689991
37,0.99364734,0.019777883032099697,0.9921875,0.010953479446470737
38,0.9936794,0.02001795163511985,0.9873046875,0.010927972383797169
39,0.99422485,0.0189845050493632,0.9892578125,0.012106579728424549
40,0.9935511,0.02051282547326095,0.990234375,0.13403363525867462
41,0.9940323,0.01961256744486717,0.9931640625,0.12179319560527802
42,0.99377567,0.020182308663896288,0.98828125,0.02574099972844124
43,0.99393606,0.019748850230826065,0.9892578125,0.03646023944020271
44,0.9941286,0.01962257699980697,0.990234375,0.009795504622161388
45,0.99416065,0.018667571717335123,0.990234375,0.018429391086101532
46,0.993519,0.019710362337095073,0.9853515625,0.05395355448126793
47,0.9940323,0.019615701162542857,0.990234375,0.006079467479139566
48,0.9937436,0.020131550435726463,0.9921875,0.018545914441347122
49,0.993519,0.019927156126416847,0.98828125,0.024341601878404617
50,0.9934869,0.02140298779830107,0.986328125,0.15656428039073944
51,0.9944815,0.01875643590615787,0.9873046875,0.02128126658499241
52,0.995059,0.015676485742640717,0.990234375,0.0342651903629303
53,0.99358314,0.019366577401153887,0.9912109375,0.01398131251335144
54,0.9937436,0.019632799832785725,0.9853515625,0.015623879618942738
55,0.99428904,0.018739713838233592,0.9873046875,0.016558781266212463
56,0.99361527,0.021023067167980546,0.9873046875,0.007185865193605423
57,0.9939682,0.020382724020390357,0.986328125,0.021858904510736465
58,0.99416065,0.019281526358936315,0.9912109375,0.006805216893553734
59,0.9944815,0.018469123335558064,0.9892578125,0.00885357242077589
60,0.9942569,0.020750889797370834,0.990234375,0.06115654483437538
61,0.99416065,0.018528203675963244,0.9912109375,0.011083566583693027
62,0.993904,0.019252494662293486,0.986328125,0.018160410225391388
63,0.99303776,0.02331192053727652,0.9912109375,0.012055141851305962
64,0.9937115,0.020593672496571687,0.9873046875,0.061369068920612335
65,0.99422485,0.018767467451830337,0.9931640625,0.008464462123811245
66,0.9942569,0.017331373709236278,0.9873046875,0.07914796471595764
67,0.9936794,0.017901453399015745,0.9892578125,0.009104644879698753
68,0.99342275,0.02136232051771283,0.9892578125,0.060056205838918686
69,0.9939682,0.020642498226888198,0.990234375,0.06676562130451202
70,0.99361527,0.020608979608690046,0.9921875,0.011038163676857948
71,0.9934869,0.01988994420694428,0.98828125,0.00891062244772911
72,0.9937436,0.01885777169323882,0.990234375,0.011024431325495243
73,0.993519,0.020244077860448965,0.9921875,0.01157982088625431
74,0.99361527,0.02121220953057107,0.9892578125,0.012135500088334084
75,0.9940965,0.018693012282596778,0.98828125,0.1420048624277115
76,0.99451363,0.019190884629554674,0.9921875,0.012085529044270515
77,0.9933907,0.021722005442532118,0.98828125,0.021858127787709236
78,0.99486655,0.017085250214510073,0.9873046875,0.04677180200815201
79,0.99393606,0.020363328623555763,0.9931640625,0.010580739937722683
80,0.993904,0.018929623760253353,0.9892578125,0.004756279289722443
81,0.99358314,0.019115970453173443,0.990234375,0.050669871270656586
82,0.9943532,0.01905713948683294,0.9892578125,0.00893479399383068
83,0.99377567,0.019910731553455033,0.9892578125,0.009746270254254341
84,0.99358314,0.01842340798888382,0.9921875,0.030436120927333832
85,0.99451363,0.017474133007190605,0.9853515625,0.12224295735359192
86,0.99393606,0.019229883842506814,0.9921875,0.017886493355035782
87,0.99313396,0.02062713607766348,0.9921875,0.05004091188311577
88,0.9939682,0.018261002993533382,0.9892578125,0.032440029084682465
